filed_date,ticker,insider,title,txn_date,shares,value,entry_date,entry_px,exit_date,exit_px,fwd_pct,spy_pct,excess_pct,hit,settled,dropped
2026-06-25,KARD,"ARCH Venture Partners XIII, LLC",isDirector/isTenPercentOwner,2026-06-22,1250000.0,20000000.0,2026-06-25,22.58,2026-07-23,21.67,-4.03,0.631,-4.661,False,True,False
2026-06-25,KARD,BERNS PAUL L,isDirector/isTenPercentOwner,2026-06-22,1250000.0,20000000.0,2026-06-25,22.58,2026-07-23,21.67,-4.03,0.631,-4.661,False,True,False
2026-06-25,BX,Blackstone Private Multi-Asset Credit & Income Fund,isTenPercentOwner,2026-06-23,765110.941,20000000.0,2026-06-26,115.4,2026-07-24,130.0,12.652,1.364,11.288,True,True,False
2026-06-25,TAKAX,THRIVENT FINANCIAL FOR LUTHERANS,,2026-06-23,200000.0,5000000.0,2026-06-26,8.03,2026-07-23,8.01,-0.249,1.364,-1.613,False,True,False
2026-06-25,PSEC,Barry John F,CHIEF EXECUTIVE OFFICER,2026-06-22,1000000.0,2246300.0,2026-06-25,2.235,2026-07-24,2.12,-5.145,0.631,-5.776,False,True,False
2026-06-25,AMS,Stachowiak Raymond C,Executive Chairman,2026-06-22,586468.0,1337147.04,2026-06-25,1.59,2026-07-23,1.43,-10.063,0.631,-10.693,False,True,False
2026-06-25,KMX,Barr Keith,President and CEO,2026-06-22,9400.0,498247.0,2026-06-25,52.9,2026-07-23,58.39,10.378,0.631,9.748,True,True,False
2026-06-25,CRT,OLIVER ERIC L,isTenPercentOwner,2026-06-23,34596.0,300293.28,2026-06-26,8.9856,2026-07-23,9.92,10.399,1.364,9.036,True,True,False
2026-06-25,CRT,OLIVER ERIC L,isTenPercentOwner,2026-06-22,20968.0,181373.2,2026-06-25,8.8462,2026-07-23,9.92,12.138,0.631,11.507,True,True,False
2026-06-25,FTH,STEPHENSON BRIAN C,Chief Financial Officer,2026-06-23,6836.0,164884.32,2026-06-26,22.87,2026-07-23,27.76,21.382,1.364,20.018,True,True,False
2026-06-25,F,THORNTON JOHN L,isDirector,2026-06-23,10600.0,148880.18,2026-06-26,14.13,2026-07-24,14.37,1.699,1.364,0.335,True,True,False
2026-06-25,COR,Tyler Lauren M,isDirector,2026-06-22,550.0,148626.5,2026-06-25,286.95,2026-07-23,305.06,6.311,0.631,5.681,True,True,False
2026-06-25,KMX,Bensen Peter J,isDirector,2026-06-22,2500.0,130500.0,2026-06-25,52.9,2026-07-23,58.39,10.378,0.631,9.748,True,True,False
2026-06-25,BCIC,Goldthorpe Edward J.,"President, CEO",2026-06-22,13738.0,98364.08,2026-06-25,7.0618,2026-07-23,6.95,-1.584,0.631,-2.214,False,True,False
2026-06-25,ADTX,HRT FINANCIAL LP,isTenPercentOwner,2026-06-18,7340178.0,95422.31,2026-06-22,0.019,2026-07-22,0.0031,-83.684,0.485,-84.169,False,True,False
2026-06-25,CSR,Jones-Tyson Rodney,isDirector,2026-06-22,1700.0,93942.0,2026-06-25,55.9834,2026-07-23,55.7,-0.506,0.631,-1.137,False,True,False
2026-06-25,TOI,Chernett Jorey,isTenPercentOwner,2026-06-23,18000.0,90360.0,2026-06-26,5.39,2026-07-24,4.98,-7.607,1.364,-8.97,False,True,False
2026-06-25,AXR,DAHL JAMES H,isTenPercentOwner,2026-06-22,3075.0,78666.8,2026-06-25,25.6,2026-07-23,25.41,-0.742,0.631,-1.373,False,True,False
2026-06-25,FTH,STEPHENSON BRIAN C,Chief Financial Officer,2026-06-22,3329.0,77499.12,2026-06-25,24.67,2026-07-23,27.76,12.525,0.631,11.895,True,True,False
2026-06-25,BCDA,STERTZER SIMON H,isDirector,2026-06-22,70200.0,64584.0,2026-06-25,1.09,2026-07-23,0.91,-16.514,0.631,-17.144,False,True,False
2026-06-25,FTH,Parikh Anand Kiran,President and CEO,2026-06-22,2806.0,55446.56,2026-06-25,24.67,2026-07-23,27.76,12.525,0.631,11.895,True,True,False
2026-06-26,PSEC,Barry John F,CHIEF EXECUTIVE OFFICER,2026-06-23,1000000.0,2274500.0,2026-06-26,2.31,2026-07-24,2.12,-8.225,1.364,-9.589,False,True,False
