pick_date,symbol,view,mom_pct,entry_date,entry_px,exit_date,exit_px,ret_pct,bench_pct,excess_pct,call_excess_pct,hit,settled,dropped
2026-06-26,SNDK,看好,868.7,2026-06-29,2050.3899,2026-07-28,1078.28,-47.411,-6.774,-40.637,-40.637,False,True,False
2026-06-26,MU,看好,339.1,2026-06-29,1145.1039,2026-07-28,810.47,-29.223,-6.774,-22.449,-22.449,False,True,False
2026-06-26,INTC,看好,265.3,2026-06-29,131.72,2026-07-28,85.56,-35.044,-6.774,-28.27,-28.27,False,True,False
2026-06-26,MSFT,看淡,-26.9,2026-06-29,368.57,2026-07-28,399.0299,8.264,-6.774,15.038,-15.038,False,True,False
2026-06-26,NFLX,看淡,-24.0,2026-06-29,73.78,2026-07-28,73.0852,-0.942,-6.774,5.832,-5.832,False,True,False
2026-06-26,HOOD,看淡,-23.6,2026-06-29,101.83,2026-07-28,91.89,-9.761,-6.774,-2.987,2.987,True,True,False
2026-06-26,KO,看好,16.1,2026-06-29,82.65,2026-07-28,89.65,8.469,-6.774,15.244,15.244,True,True,False
2026-06-26,COST,看好,11.2,2026-06-29,945.1772,2026-07-28,966.58,2.264,-6.711,8.975,8.975,True,True,False
2026-06-26,BRK-B,看好,-2.4,2026-06-29,496.0,2026-07-28,509.36,2.694,-6.774,9.468,9.468,True,True,False
2026-06-26,TSLA,看淡,-23.2,2026-06-29,411.84,2026-07-28,305.3,-25.869,-6.774,-19.095,19.095,True,True,False
2026-06-26,META,看淡,-17.8,2026-06-29,562.6,2026-07-28,593.85,5.555,-6.774,12.329,-12.329,False,True,False
2026-06-29,KO,看好,19.6,2026-06-30,81.27,2026-07-29,89.08,9.61,-10.14,19.75,19.75,True,True,False
2026-06-29,COST,看好,9.1,2026-06-30,933.985,2026-07-29,974.03,4.288,-10.14,14.427,14.427,True,True,False
2026-06-29,BRK-B,看好,-1.1,2026-06-30,500.39,2026-07-29,509.16,1.753,-10.14,11.893,11.893,True,True,False
2026-06-29,HOOD,看淡,-15.7,2026-06-30,100.28,2026-07-29,89.84,-10.411,-10.14,-0.271,0.271,True,True,False
2026-06-29,TSLA,看淡,-16.8,2026-06-30,420.6,2026-07-29,298.32,-29.073,-10.14,-18.933,18.933,True,True,False
2026-06-29,META,看淡,-15.3,2026-06-30,563.29,2026-07-29,585.61,3.962,-10.14,14.102,-14.102,False,True,False
2026-06-30,KO,看好,18.8,2026-07-01,81.29,2026-07-30,87.82,8.033,-6.094,14.127,14.127,True,True,False
2026-06-30,COST,看好,7.5,2026-07-01,923.2021,2026-07-30,952.085,3.129,-6.094,9.222,9.222,True,True,False
2026-06-30,GOOGL,看好,13.8,2026-07-01,361.21,2026-07-30,332.78,-7.871,-6.094,-1.777,-1.777,False,True,False
2026-06-30,HOOD,看淡,-13.5,2026-07-01,108.65,2026-07-30,87.872,-19.124,-6.094,-13.03,13.03,True,True,False
2026-06-30,META,看淡,-16.1,2026-07-01,612.91,2026-07-30,538.6,-12.124,-6.094,-6.03,6.03,True,True,False
2026-06-30,TSLA,看淡,-12.6,2026-07-01,425.3,2026-07-30,305.915,-28.071,-6.094,-21.977,21.977,True,True,False
2026-07-01,KO,看好,18.0,2026-07-02,84.14,2026-07-31,87.61,4.124,-3.942,8.066,8.066,True,True,False
2026-07-01,AAPL,看好,7.9,2026-07-02,308.63,2026-07-31,303.84,-1.552,-3.942,2.39,2.39,True,True,False
2026-07-01,COST,看好,6.7,2026-07-02,950.1593,2026-07-31,947.24,-0.307,-3.942,3.635,3.635,True,True,False
2026-07-01,HOOD,看淡,-8.4,2026-07-02,112.73,2026-07-31,85.03,-24.572,-3.942,-20.63,20.63,True,True,False
2026-07-01,TSLA,看淡,-6.0,2026-07-02,393.45,2026-07-31,307.205,-21.92,-3.942,-17.978,17.978,True,True,False
2026-07-01,META,看淡,-5.2,2026-07-02,582.9,2026-07-31,546.0,-6.33,-3.942,-2.389,2.389,True,True,False
2026-07-02,KO,看好,20.5,2026-07-06,82.96,2026-08-03,86.975,4.84,-3.55,8.39,8.39,True,True,False
2026-07-02,COST,看好,9.3,2026-07-06,948.7416,2026-08-03,952.815,0.429,-3.55,3.979,3.979,True,True,False
2026-07-02,AAPL,看好,12.1,2026-07-06,312.66,2026-08-03,303.19,-3.029,-3.55,0.521,0.521,True,True,False
2026-07-02,HOOD,看淡,-1.7,2026-07-06,117.55,2026-08-03,91.06,-22.535,-3.55,-18.985,18.985,True,True,False
2026-07-02,TSLA,看淡,-12.9,2026-07-06,419.77,2026-08-03,322.57,-23.156,-3.55,-19.606,19.606,True,True,False
2026-07-02,META,看淡,-11.8,2026-07-06,600.29,2026-08-03,593.88,-1.068,-3.55,2.482,-2.482,False,True,False
2026-07-02,GOOGL,看好,14.8,2026-07-06,366.46,2026-08-03,374.69,2.246,-3.55,5.796,5.796,True,True,False
2026-07-02,AVGO,看淡,3.4,2026-07-06,373.9,2026-08-03,387.56,3.653,-3.55,7.203,-7.203,False,True,False
2026-07-03,KO,看好,21.7,2026-07-06,82.96,2026-08-03,86.975,4.84,-3.55,8.39,8.39,True,True,False
2026-07-03,AAPL,看好,13.2,2026-07-06,312.66,2026-08-03,303.19,-3.029,-3.55,0.521,0.521,True,True,False
2026-07-03,GOOGL,看好,14.8,2026-07-06,366.46,2026-08-03,374.69,2.246,-3.55,5.796,5.796,True,True,False
2026-07-03,HOOD,看淡,-2.4,2026-07-06,117.55,2026-08-03,91.06,-22.535,-3.55,-18.985,18.985,True,True,False
2026-07-03,TSLA,看淡,-13.4,2026-07-06,419.77,2026-08-03,322.57,-23.156,-3.55,-19.606,19.606,True,True,False
2026-07-03,AVGO,看淡,3.4,2026-07-06,373.9,2026-08-03,387.56,3.653,-3.55,7.203,-7.203,False,True,False
2026-07-07,KO,看好,20.3,2026-07-08,83.4,2026-08-05,86.75,4.017,1.533,2.484,2.484,True,True,False
2026-07-07,AAPL,看好,15.2,2026-07-08,313.39,2026-08-05,309.88,-1.12,1.533,-2.653,-2.653,False,True,False
2026-07-07,COST,看好,10.5,2026-07-08,951.617,2026-08-05,938.72,-1.355,1.533,-2.888,-2.888,False,True,False
2026-07-07,HOOD,看淡,3.9,2026-07-08,113.53,2026-08-05,94.02,-17.185,1.533,-18.718,18.718,True,True,False
2026-07-07,TSLA,看淡,-6.7,2026-07-08,394.06,2026-08-05,322.02,-18.281,1.533,-19.814,19.814,True,True,False
2026-07-07,META,看淡,-8.9,2026-07-08,603.12,2026-08-05,589.41,-2.273,1.533,-3.806,3.806,True,True,False
2026-07-07,GOOGL,看好,17.1,2026-07-08,361.92,2026-08-05,380.015,5.0,1.533,3.467,3.467,True,True,False
2026-07-08,KO,看好,25.5,2026-07-09,82.63,2026-08-06,86.86,5.119,-0.658,5.777,5.777,True,True,False
2026-07-08,AAPL,看好,16.1,2026-07-09,316.22,2026-08-06,312.0799,-1.309,-0.658,-0.651,-0.651,False,True,False
2026-07-08,COST,看好,9.8,2026-07-09,911.5208,2026-08-06,948.24,4.028,-0.658,4.686,4.686,True,True,False
2026-07-08,HOOD,看淡,-10.5,2026-07-09,115.11,2026-08-06,92.095,-19.994,-0.658,-19.336,19.336,True,True,False
2026-07-08,TSLA,看淡,-13.2,2026-07-09,406.55,2026-08-06,322.6101,-20.647,-0.658,-19.989,19.989,True,True,False
2026-07-08,META,看淡,-8.3,2026-07-09,631.48,2026-08-06,589.57,-6.637,-0.658,-5.979,5.979,True,True,False
2026-07-09,KO,看好,23.2,2026-07-10,83.49,2026-08-07,86.93,4.12,-1.006,5.126,5.126,True,True,False
2026-07-09,AAPL,看好,20.2,2026-07-10,315.32,2026-08-07,312.38,-0.932,-1.006,0.074,0.074,True,True,False
2026-07-09,COST,看好,2.7,2026-07-10,914.7955,2026-08-07,945.795,3.389,-1.006,4.395,4.395,True,True,False
2026-07-09,HOOD,看淡,-3.8,2026-07-10,111.97,2026-08-07,93.7884,-16.238,-1.006,-15.232,15.232,True,True,False
2026-07-09,TSLA,看淡,-7.8,2026-07-10,407.76,2026-08-07,324.8,-20.345,-1.006,-19.339,19.339,True,True,False
